Series Description,Federal funds effective rate,"Average majority prime rate charged by banks   on short-term loans to business,   quoted on an investment basis",The rate charged for primary credit under   amendment to the Board's Regulation A
Unit:,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year
Multiplier:,1,1,1
Currency:,NA,NA,NA
Unique Identifier: ,H15/H15/RIFSPFF_N.WW,H15/H15/RIFSPBLP_N.WW,H15/H15/RIFSRP_F02_N.WW
Time Period,RIFSPFF_N.WW,RIFSPBLP_N.WW,RIFSRP_F02_N.WW
1980-01-02,14.04,15.25,
1980-01-09,13.94,15.25,
1980-01-16,13.91,15.25,
1980-01-23,13.77,15.25,
1980-01-30,13.54,15.25,
1980-02-06,12.8,15.25,
1980-02-13,13.64,15.25,
1980-02-20,14.87,15.39,
1980-02-27,14.62,16.29,
1980-03-05,16.17,16.84,
1980-03-12,16.45,17.68,
1980-03-19,16.24,18.46,
1980-03-26,17.78,19,
1980-04-02,19.39,19.5,
1980-04-09,19.04,20,
1980-04-16,18.35,20,
1980-04-23,17.56,19.57,
1980-04-30,15.12,19.5,
1980-05-07,12.96,18.39,
1980-05-14,10.85,17.5,
1980-05-21,10.71,16.64,
1980-05-28,9.46,14.79,
1980-06-04,10.74,14.07,
1980-06-11,9.68,13.14,
1980-06-18,8.99,12.36,
1980-06-25,9.08,12.04,
1980-07-02,9.41,12,
1980-07-09,9.26,11.79,
1980-07-16,8.98,11.5,
1980-07-23,8.68,11.5,
1980-07-30,8.98,11.07,
1980-08-06,9.6,11,
1980-08-13,8.85,11,
1980-08-20,9.35,11,
1980-08-27,10.03,11.25,
1980-09-03,10.47,11.5,
1980-09-10,10.22,11.71,
1980-09-17,10.64,12.21,
1980-09-24,10.85,12.46,
1980-10-01,12.38,13,
1980-10-08,12.59,13.5,
1980-10-15,12.64,13.5,
1980-10-22,12.55,13.93,
1980-10-29,13.17,14.07,
1980-11-05,13.99,14.5,
1980-11-12,14.65,15.5,
1980-11-19,15.22,15.82,
1980-11-26,17.43,17,
1980-12-03,17.72,17.96,
1980-12-10,18.82,19.07,
1980-12-17,19.83,20.29,
1980-12-24,19.44,21.43,
1980-12-31,18.45,21.5,
1981-01-07,20.06,20.64,
1981-01-14,19.64,20.07,
1981-01-21,19.35,20,
1981-01-28,18.12,20,
1981-02-04,17.19,19.86,
1981-02-11,16.51,19.5,
1981-02-18,15.81,19.5,
1981-02-25,14.96,19.29,
1981-03-04,15.73,19,
1981-03-11,15.53,18.71,
1981-03-18,14.13,17.86,
1981-03-25,13.48,17.5,
1981-04-01,14.93,17.5,
1981-04-08,15.43,17,
1981-04-15,15.33,17,
1981-04-22,15.55,17,
1981-04-29,16.28,17.43,
1981-05-06,18.91,18.43,
1981-05-13,18.21,19.21,
1981-05-20,18.89,19.64,
1981-05-27,18.71,20.43,
1981-06-03,18.4,20.43,
1981-06-10,19.33,20,
1981-06-17,19.1,20,
1981-06-24,19.2,20,
1981-07-01,18.84,20,
1981-07-08,19.93,20.07,
1981-07-15,18.76,20.5,
1981-07-22,19.05,20.5,
1981-07-29,18.54,20.5,
1981-08-05,18.25,20.5,
1981-08-12,18.29,20.5,
1981-08-19,18.19,20.5,
1981-08-26,17.41,20.5,
1981-09-02,16.89,20.5,
