Date,RAV Index,RAG Index,,,Date,RAV Index,RAG Index,,
15/09/2022,1932.921,1834.841,,,15/09/2022,15.715,29.6248,,
14/09/2022,1939.376,1857.225,,,14/09/2022,15.7466,29.9374,,PE
13/09/2022,1936.83,1846.925,,,13/09/2022,15.7267,29.6128,,
12/09/2022,2011.224,1940.482,,,12/09/2022,16.34,31.1129,,
09/09/2022,1992.824,1916.973,,,09/09/2022,16.1905,30.7363,,
08/09/2022,1965.508,1881.495,,,08/09/2022,15.9686,30.1675,,
07/09/2022,1947.647,1870.711,,,07/09/2022,15.8235,29.9945,,
06/09/2022,1913.736,1833.395,,,06/09/2022,15.548,29.3962,,
02/09/2022,1922.831,1841.689,,,02/09/2022,15.622,29.5292,,
01/09/2022,1939.238,1863.147,,,01/09/2022,15.7553,29.8732,,
31/08/2022,1935.552,1864.319,,,31/08/2022,15.7252,29.892,,
30/08/2022,1949.099,1879.651,,,30/08/2022,15.8339,30.1255,,
29/08/2022,1971.709,1900.616,,,29/08/2022,16.0175,30.4675,,
26/08/2022,1981.427,1918.007,,,26/08/2022,16.0931,30.7463,,
25/08/2022,2040.029,1994.045,,,25/08/2022,16.5688,31.9653,,
24/08/2022,2012.8,1963.144,,,24/08/2022,16.3477,31.4697,,
23/08/2022,2003.823,1956.781,,,23/08/2022,16.2781,31.3677,,
22/08/2022,2007.468,1959.988,,,22/08/2022,16.3077,31.4191,,
19/08/2022,2046.911,2007.067,,,19/08/2022,16.628,32.1726,,
18/08/2022,2071.408,2041.498,,,18/08/2022,16.8277,32.7251,,
17/08/2022,2066.383,2036.209,,,17/08/2022,16.7827,32.6404,,
16/08/2022,2085.362,2054.088,,,16/08/2022,16.9433,32.9294,,
15/08/2022,2077.958,2054.254,,,15/08/2022,16.8833,32.9457,,
12/08/2022,2074.508,2042.908,,,12/08/2022,16.8566,32.7618,,
11/08/2022,2043.519,2003.457,,,11/08/2022,16.6051,32.1294,,
10/08/2022,2035.569,2013.652,,,10/08/2022,16.5412,32.2969,,
09/08/2022,1997.25,1960.808,,,09/08/2022,16.2364,31.4492,,
08/08/2022,2001.054,1980.543,,,08/08/2022,16.2671,31.7658,,
05/08/2022,1996.03,1983.963,,,05/08/2022,16.2261,31.8208,,
04/08/2022,1991.73,1988.548,,,04/08/2022,16.1919,31.8945,,
03/08/2022,2001.016,1982.892,,,03/08/2022,16.2676,31.8062,,
02/08/2022,1980.029,1941.655,,,02/08/2022,16.0969,31.1377,,
01/08/2022,1994.97,1948.614,,,01/08/2022,16.2184,31.2494,,
29/07/2022,1999.677,1953.015,,,29/07/2022,16.2327,31.2944,,
28/07/2022,1982.308,1918.433,,,28/07/2022,16.0887,30.7576,,
27/07/2022,1963.625,1889.422,,,27/07/2022,15.9368,30.2925,,
